repo_id,num_stars,num_gfi
1836972,1236,0
265653,1442,0
21852,1484,0
2790,1486,0
1267,1486,0
6368,1489,27
36727,1493,0
52985,1497,0
1382487,1498,0
176067,1537,0
5455827,1552,0
1354162,1552,0
123640,1565,0
11902,1576,0
14441,1580,0
18085,1614,0
425122,1618,0
8249,1642,0
39735,1664,0
278366,1670,0
331875,1695,0
21127,1723,0
2080,1730,0
2898,1734,0
25681,1740,0
75957,1742,0
39312,1744,0
28769,1749,0
98846,1780,0
10659,1781,0
1009774,1785,0
11975,1794,0
11371,1804,0
179381,1810,0
141694,1834,2
43113,1842,0
10070,1845,21
28485,1863,0
13720,1866,0
48352,1870,0
66136,1873,0
1396558,1876,0
114167,1880,0
89607,1901,0
7415,1911,0
3182,1931,0
26666,1995,0
176465,2004,0
61728,2005,0
40943,2005,0
1386209,2012,0
1129,2060,0
84412,2066,0
16209,2067,0
1838617,2068,0
12368,2080,0
13990,2090,0
1379656,2095,0
103284,2100,19
33239,2101,0
49032,2112,17
21416,2117,0
3457,2127,0
14989,2134,0
56341,2141,0
55792194,2142,0
182243,2144,0
8259,2149,0
33171,2154,0
1387588,2154,0
17519,2155,0
39902,2155,0
595203,2163,0
6050,2199,0
3040416,2225,0
1825768,2225,0
17711929,2225,0
1369530,2228,0
4419607,2238,0
7566853,2241,0
56374,2248,0
10537426,2254,0
12190410,2256,0
11441,2258,0
16798726,2268,0
21837,2274,0
14043,2282,0
13348074,2289,0
8390,2296,0
5076,2299,6
1529,2303,6
74,2308,0
25384,2311,0
5349,2312,0
23372065,2314,0
28247,2322,0
3748,2324,0
44639,2330,0
898600,2330,0
1875,2333,0
4192078,2349,0
15149419,2371,0
29671,2373,0
1838223,2375,0
1041,2378,0
8246028,2384,76
4189282,2385,0
144967,2385,0
22092982,2385,0
12713,2389,0
4961183,2391,0
24642,2391,0
6576513,2393,0
28297,2395,4
39044,2396,0
1654,2398,2
39075,2404,0
11107988,2406,0
89745,2406,0
202,2407,0
45269,2408,0
14746,2408,0
1362166,2411,0
11409953,2414,0
4794575,2415,0
90372,2417,0
2187,2419,0
22762,2431,0
217063,2432,0
16180577,2433,0
209466,2435,1
1367535,2436,0
7118,2437,0
1619385,2439,0
3808946,2449,0
29523,2465,0
64630,2466,0
