issue_id,num_mentioned
7447725,0
55588401,2
24395901,0
50812662,1
28064720,0
66852418,8
66852418,8
25418842,0
24982748,0
33416358,0
72622721,0
98757055,1
250796,1
25520154,2
57746951,10
28376010,3
36760045,0
16174735,0
30140783,0
22074379,8
9890943,1
7300281,7
17441333,3
38570410,1
101954354,0
5666474,1
28462401,0
79821025,2
44961464,8
25683315,1
100053514,3
33949045,0
40193553,1
47133089,0
34245179,0
88695203,24
87468004,5
2045835,6
70201773,8
80912080,8
25954125,1
65768265,9
39859201,20
20423909,0
24000888,0
51792645,14
55741221,0
25549617,2
39780272,0
75116286,0
75116286,0
26271071,6
62114897,1
59514667,6
52800075,1
34029592,0
33145055,0
7325780,0
58588368,0
63025744,1
19204851,11
64376849,1
21245455,2
41619951,0
53056348,2
28536817,0
66629482,2
62335416,2
9167445,1
67220333,3
78941908,10
31298529,0
27943169,2
66870860,1
58871137,0
16443674,0
29725302,0
7437031,6
17151664,4
100256567,0
10468568,0
23965848,0
105560787,0
68048558,1
31285220,0
65196463,2
79690518,1
92672147,30
92672147,30
20561399,2
29427921,1
80885393,2
95475435,3
25857404,0
68774149,0
932389,0
62243729,0
252228,0
73302564,0
71280182,0
96627977,0
24201761,4
63023063,5
14013984,0
65660948,0
34833404,0
59216477,0
54574999,7
19292222,9
63575032,0
33196775,0
30968612,0
49750317,0
33236752,0
1607256,0
21204267,4
88115829,0
25768280,0
36832853,1
91234558,1
63563963,4
8423501,1
28415619,0
80507574,2
6855602,0
2388019,1
14536318,1
37956419,2
40656243,6
23776882,36
16763615,5
38777152,1
27753140,4
84180916,0
25470824,0
44286426,8
64264875,0
18216470,0
27872472,2
28425193,3
22319481,14
51351110,2
63420709,5
47410302,0
46526494,1
81428762,1
53064967,0
33305881,5
28546036,0
42744801,0
28131878,2
27934037,1
95289437,0
24935730,3
2041701,0
33626629,4
69482617,0
14918737,0
59139078,0
39241705,0
18928397,1
185292,2
33452350,5
69679216,5
52740087,0
66008580,0
27931563,1
95692451,0
74849798,1
54626335,0
36748434,1
30901106,0
713358,17
21766541,0
71727021,2
35842655,0
68281969,4
67627791,6
6305678,0
62941249,2
20838114,0
250600,1
39603387,8
49918686,0
53138175,0
57113172,8
39684976,1
46099471,3
86433258,0
86433258,0
100221245,3
11312861,0
55127200,22
92057724,0
40785339,0
70180749,1
30757510,0
713325,0
89983973,0
62066018,3
49594428,0
93274690,1
21129483,1
22888227,0
62803423,0
94105740,0
14720228,4
49965590,18
21736269,1
57766914,1
92777773,2
641552,4
63110690,2
63110690,2
31320340,1
35542538,0
2067354,0
337410,0
17670361,0
91889968,1
44993466,7
60206938,0
67755474,9
54056038,5
58233371,8
37727382,0
18327233,0
45138825,0
34679362,0
59839266,0
56519735,12
78025344,1
25282651,0
25671393,0
14948800,0
59839057,1
33936723,0
21703576,18
19604901,2
47098622,2
70926025,0
22157287,0
51868603,6
23311795,6
43659880,0
22127560,5
97755832,0
3364533,1
35047660,0
11945003,0
34409691,0
12532551,10
85343559,0
97180794,1
78101577,5
81496792,2
18128893,4
55380657,0
26226780,0
39781572,0
50356903,0
34364690,0
25291734,4
71118771,4
17433871,0
16593682,0
65985081,0
46604059,2
11409273,0
77402917,2
64180320,8
23502247,4
19365913,0
25724567,2
69022817,0
9488384,0
22897725,24
37321074,0
3352725,0
92994920,1
64509932,1
43720031,0
45574571,0
25029944,2
28397022,6
49590141,21
26620732,0
47252621,0
88422128,5
24587377,0
15424263,8
74670462,0
60267674,0
56926588,2
34315799,0
11914747,0
12188623,0
7060677,1
62115337,5
105895620,0
76378149,1
25932175,0
14475534,2
11887269,1
40472069,0
57602094,0
53137857,1
50856780,0
14794309,0
48609080,3
6859369,24
32862592,2
67183456,0
91837804,0
57055373,3
27746995,0
25891235,8
2824924,6
96222126,4
63579307,0
40815280,1
73756212,0
28850547,34
39839260,46
78603053,0
3098214,4
46240300,3
8425807,0
76439329,0
23477563,3
86142710,0
78161153,4
32721897,0
5641399,0
10647396,2
102793713,0
61441837,6
85310264,0
41024380,12
22584133,0
37569827,0
27993796,6
63077955,2
71906022,0
74808151,0
29188118,0
8970327,0
22031775,0
22513265,1
32489839,2
37796069,8
47990892,6
2447454,1
16622638,90
50486307,1
73456741,5
43227819,2
12646795,12
67265706,6
40186867,0
88581535,8
20853796,6
87575547,0
86905259,8
20296376,1
85445581,6
86856858,4
21848971,4
26138480,0
25976820,4
9850121,1
86968972,0
69259511,0
97408357,3
21873646,1
51975901,2
34540951,60
69260539,0
38982673,0
101715188,0
74210543,1
105847607,0
24219084,0
25268052,3
8782268,0
36391947,1
12813199,0
29243932,0
94318021,0
89319699,0
9136792,6
2184156,0
43787471,0
101862214,1
60858140,0
98147337,1
17467955,0
53434662,0
30815896,0
43238352,0
64061270,11
38337926,1
15368232,0
37787080,4
101505099,0
38070417,0
8562364,0
23767628,0
75264098,287
106387537,2
31264338,5
22816955,0
84994320,2
43884871,0
88335389,1
3002629,2
14095129,3
85043491,6
36925608,0
16930100,0
11032872,16
17974667,40
17974667,40
