label,num_issues
good first issue,4566
easy,3576
up-for-grabs,1430
low hanging fruit,1047
beginner,572
good first bug,559
minor bug,512
easy to fix,420
newbie,391
good-first-issue,309
good first contribution,297
good first task,258
starter bug,149
minor feature,120
easy-pick,65
first timers only,22
beginner-task,7
good-first-bug,4
help wanted (easy),1
